1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES,
231,AR,Arkansas,04,n/a,,,,,Party Votes:,D,"55,431",,"25,161",,,,,,,,,,
232,AR,Arkansas,04,H2AR04141,,Bobby,Tullis,"Tullis, Bobby",,LIB,,,,,"4,984",1.92%,,,,,,,
233,AR,Arkansas,04,H8AR04098,,J. Joshua,Drake,"Drake, J. Joshua",,GRE,,,,,"4,807",1.86%,,,,,,,
234,AR,Arkansas,04,n/a,,,,,,,,,,,,,,,,,,,
235,AR,Arkansas,04,n/a,,,,,District Votes:,,"91,743",,"25,161",,"258,953",,,,,,,,
236,AR,Arkansas,,n/a,,,,,,,,,,,,,,,,,,,
237,AR,Arkansas,H,n/a,,,,,Total State Votes:,,"148,145",,"44,926",,"1,038,054",,,,,,,,
238,,,,n/a,,,,,,,,,,,,,,,,,,,
239,CA,California,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
240,CA,California,01,H2CA02142,,Doug,La Malfa,"La Malfa, Doug",,R,"66,527",37.93%,,,"168,827",57.38%,,,,,W,,
241,CA,California,01,H0CA02138,,Jim,Reed,"Reed, Jim",,D,"43,409",24.75%,,,"125,386",42.62%,,,,,,,
242,CA,California,01,H2CA01110,,Sam ,Aanestad,"Aanestad, Sam ",,R,"25,224",14.38%,,,,,,,,,,,
243,CA,California,01,H2CA01128,,Michael ,Dacquisto,"Dacquisto, Michael ",,R,"10,530",6.00%,,,,,,,,,,,
244,CA,California,01,H0CA02120,,Pete,Stiglich,"Stiglich, Pete",,R,"10,258",5.85%,,,,,,,,,,,
245,CA,California,01,H4CA03054,,Nathan ,Arrowsmith,"Arrowsmith, Nathan ",,D,"8,598",4.90%,,,,,,,,,,,
246,CA,California,01,H2CA01151,,Gary Allen,Oxley,"Oxley, Gary Allen",,NOP,"5,901",3.36%,,,,,,,,,,,
247,CA,California,01,H2CA01136,,Gregory ,Cheadle,"Cheadle, Gregory ",,R,"4,939",2.82%,,,,,,,,,,,
248,CA,California,01,n/a,,,,,District Votes:,,"175,386",,,,"294,213",,,,,,,,
249,CA,California,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
250,CA,California,02,H2CA06259,,Jared ,Huffman,"Huffman, Jared ",,D,"63,922",37.49%,,,"226,216",71.24%,,,,,W,,
251,CA,California,02,H0CA06121,,Daniel W.,Roberts,"Roberts, Daniel W.",,R,"25,635",15.03%,,,"91,310",28.76%,,,,,,,
252,CA,California,02,H2CA06267,,Norman ,Solomon,"Solomon, Norman ",,D,"25,462",14.93%,,,,,,,,,,,
253,CA,California,02,H2CA02100,,Stacey ,Lawson,"Lawson, Stacey ",,D,"16,946",9.94%,,,,,,,,,,,
254,CA,California,02,H2CA06275,,Susan L. ,Adams,"Adams, Susan L. ",,D,"14,041",8.23%,,,,,,,,,,,
255,CA,California,02,H6CA06193,,Mike ,Halliwell,"Halliwell, Mike ",,R,"10,008",5.87%,,,,,,,,,,,
256,CA,California,02,H2CA02167,,Brooke ,Clarke,"Clarke, Brooke ",,NOP,"3,715",2.18%,,,,,,,,,,,
257,CA,California,02,H2CA06283,,Tiffany ,Renée,"Renée, Tiffany ",,D,"3,033",1.78%,,,,,,,,,,,
258,CA,California,02,H2CA02175,,John,Lewallen,"Lewallen, John",,NOP,"2,488",1.46%,,,,,,,,,,,
259,CA,California,02,H2CA02126,,William L. ,Courtney,"Courtney, William L. ",,D,"2,385",1.40%,,,,,,,,,,,
260,CA,California,02,H2CA02118,,Andy ,Caffrey,"Caffrey, Andy ",,D,"1,737",1.02%,,,,,,,,,,,
261,CA,California,02,H2CA02159,,Larry ,Fritzlan,"Fritzlan, Larry ",,D,"1,151",0.67%,,,,,,,,,,,
262,CA,California,02,n/a,,,,,District Votes:,,"170,523",,,,"317,526",,,,,,,,
263,CA,California,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
264,CA,California,03,H0CA10149,(I),John ,Garamendi,"Garamendi, John ",,D,"59,546",51.47%,,,"126,882",54.23%,,,,,W,,
265,CA,California,03,H2CA03090,,Kim ,Vann,"Vann, Kim ",,R,"30,254",26.15%,,,"107,086",45.77%,,,,,,,
266,CA,California,03,H0CA07103,,Rick ,Tubbs,"Tubbs, Rick ",,R,"17,902",15.48%,,,,,,,,,,,
267,CA,California,03,H2CA03108,,Tony ,Carlos,"Carlos, Tony ",,R,"5,541",4.79%,,,,,,,,,,,
268,CA,California,03,H0CA00090,,Eugene ,Ray,"Ray, Eugene ",,R,"2,438",2.11%,,,,,,,,,,,
269,CA,California,03,n/a,,,,,District Votes:,,"115,681",,,,"233,968",,,,,,,,
270,CA,California,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
271,CA,California,04,H8CA04152,(I),Tom,McClintock,"McClintock, Tom",,R,"114,311",64.79%,,,"197,803",61.11%,,,,,W,,
272,CA,California,04,H2CA04114,,Jack ,Uppal,"Uppal, Jack ",,D,"62,130",35.21%,,,"125,885",38.89%,,,,,,,
273,CA,California,04,n/a,,,,,District Votes:,,"176,441",,,,"323,688",,,,,,,,
274,CA,California,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
275,CA,California,05,H8CA01109,(I),Mike ,Thompson,"Thompson, Mike ",,D,"95,748",72.20%,,,"202,872",74.47%,,,,,W,,
276,CA,California,05,H2CA05095,,Randy,Loftin,"Loftin, Randy",,R,"22,137",16.69%,,,"69,545",25.53%,,,,,,,
277,CA,California,05,H2CA05087,,Stewart  John,Cilley,"Cilley, Stewart  John",,R,"14,734",11.11%,,,,,,,,,,,
278,CA,California,05,n/a,,,,,District Votes:,,"132,619",,,,"272,417",,,,,,,,
279,CA,California,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
280,CA,California,06,H6CA05195,(I),Doris ,Matsui,"Matsui, Doris ",,D,"67,174",71.40%,,,"160,667",75.05%,,,,,W,,
281,CA,California,06,H2CA06291,,"Joseph, Sr.",McRay,"McRay, Joseph, Sr.",,R,"15,647",16.63%,,,"53,406",24.95%,,,,,,,
282,CA,California,06,H0CA05073,,Erik,Smitt,"Smitt, Erik",,R,"11,254",11.96%,,,,,,,,,,,
283,CA,California,06,n/a,,,,,District Votes:,,"94,075",,,,"214,073",,,,,,,,
284,CA,California,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
285,CA,California,07,H0CA03078,,Ami ,Bera,"Bera, Ami ",,D,"49,433",41.00%,,,"141,241",51.68%,,,,,W,,
286,CA,California,07,H6CA34112,(I),Dan,Lungren,"Lungren, Dan",,R,"63,586",52.73%,,,"132,050",48.32%,,,,,,,
287,CA,California,07,H2CA07117 ,,Curt,Taras,"Taras, Curt",,NOP,"3,854",3.20%,,,,,,,,,,,
288,CA,California,07,H8CA05134,,Douglas Arthur,Tuma,"Tuma, Douglas Arthur",,LIB,"3,707",3.07%,,,,,,,,,,,
289,CA,California,07,n/a,,,,,District Votes:,,"120,580",,,,"273,291",,,,,,,,
290,CA,California,,n/a,,,,DISTRICT 8,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
291,CA,California,08,H2CA08164,,Paul ,Cook,"Cook, Paul ",,R,"12,517",15.29%,,,"103,093",57.39%,,,,,W,,
292,CA,California,08,H2CA41116,,Gregg,Imus,"Imus, Gregg",,R,"12,754",15.58%,,,"76,551",42.61%,,,,,,,
293,CA,California,08,H0CA42175,,Phil,Liberatore,"Liberatore, Phil",,R,"12,277",15.00%,,,,,,,,,,,
294,CA,California,08,H8CA25058,,Jackie ,Conaway,"Conaway, Jackie ",,D,"11,674",14.26%,,,,,,,,,,,
295,CA,California,08,B2CA08156,,Brad,Mitzelfelt,"Mitzelfelt, Brad",,R,"8,801",10.75%,,,,,,,,,,,
296,CA,California,08,H2CA00138,,John ,Pinkerton,"Pinkerton, John ",,D,"7,941",9.70%,,,,,,,,,,,
297,CA,California,08,H2CA08149,,Angela,Valles,"Valles, Angela",,R,"4,924",6.02%,,,,,,,,,,,
298,CA,California,08,H2CA08131,,Ryan,McEachron,"McEachron, Ryan",,R,"3,181",3.89%,,,,,,,,,,,
299,CA,California,08,H2CA08180,,Anthony ,Adams,"Adams, Anthony ",,NOP,"2,750",3.36%,,,,,,,,,,,
300,CA,California,08,H2CA08172,,Bill,Jensen,"Jensen, Bill",,R,"1,850",2.26%,,,,,,,,,,,
301,CA,California,08,H4CA40049,,George T.,Craig,"Craig, George T.",,R,"1,376",1.68%,,,,,,,,,,,
302,CA,California,08,H2CA08206 ,,Joseph D.,Napolitano,"Napolitano, Joseph D.",,R,"1,050",1.28%,,,,,,,,,,,
303,CA,California,08,H2CA08198 ,,Dennis L.,Albertsen,"Albertsen, Dennis L.",,R,761,0.93%,,,,,,,,,,,
304,CA,California,08,n/a,,,,,District Votes:,,"81,856",,,,"179,644",,,,,,,,
305,CA,California,,n/a,,,,DISTRICT 9,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
306,CA,California,09,H4CA11081,(I),Jerry ,McNerney,"McNerney, Jerry ",,D,"45,696",47.78%,,,"118,373",55.55%,,,,,W,,
307,CA,California,09,H2CA11135,,Ricky ,Gill,"Gill, Ricky ",,R,"38,488",40.24%,,,"94,704",44.45%,,,,,,,
308,CA,California,09,H2CA09105,,John ,McDonald,"McDonald, John ",,R,"11,458",11.98%,,,,,,,,,,,
309,CA,California,09,n/a,,,,,District Votes:,,"95,642",,,,"213,077",,,,,,,,
310,CA,California,,n/a,,,,DISTRICT 10,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
311,CA,California,10,H0CA19173,(I),Jeff,Denham,"Denham, Jeff",,R,"45,779",49.24%,,,"110,265",52.71%,,,,,W,,
312,CA,California,10,H2CA10145,,Jose,Hernandez,"Hernandez, Jose",,D,"26,072",28.04%,,,"98,934",47.29%,,,,,,,
313,CA,California,10,H2CA10152,,Chad M.,Condit,"Condit, Chad M.",,NOP,"13,983",15.04%,,,,,,,,,,,
314,CA,California,10,H2CA00096,,"Michael J. "Mike"""ichae",Barkley,"Barkley, Michael J. "Mike"""arkle",,D,"5,028",5.41%,,,,,,,,,,,
315,CA,California,10,H2CA10160 ,,Troy Wayne,McComak,"McComak, Troy Wayne",,NOP,"2,114",2.27%,,,,,,,,,,,
316,CA,California,10,n/a,,,,,District Votes:,,"92,976",,,,"209,199",,,,,,,,
317,CA,California,,n/a,,,,DISTRICT 11,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
318,CA,California,11,H6CA07043,(I),George ,Miller,"Miller, George ",,D,"76,163",58.49%,,,"200,743",69.73%,,,,,W,,
319,CA,California,11,H8CA07031,,Virginia,Fuller,"Fuller, Virginia",,R,"40,333",30.97%,,,"87,136",30.27%,,,,,,,
320,CA,California,11,H0CA07111,,John ,Fitzgerald,"Fitzgerald, John ",,D,"9,092",6.98%,,,,,,,,,,,
321,CA,California,11,H2CA11168,,Cheryl ,Sudduth,"Sudduth, Cheryl ",,D,"4,635",3.56%,,,,,,,,,,,
322,CA,California,11,n/a,,,,,District Votes:,,"130,223",,,,"287,879",,,,,,,,
323,CA,California,,n/a,,,,DISTRICT 12,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
324,CA,California,12,H8CA05035,(I),Nancy ,Pelosi,"Pelosi, Nancy ",,D,"89,446",74.88%,,,"253,709",85.08%,,,,,W,,
325,CA,California,12,H0CA08069,,John ,Dennis,"Dennis, John ",,R,"16,206",13.57%,,,"44,478",14.92%,,,,,,,
326,CA,California,12,H4CA12089,,Barry,Hermanson,"Hermanson, Barry",,GRE,"6,398",5.36%,,,,,,,,,,,
327,CA,California,12,H0CA10172,,David ,Peterson,"Peterson, David ",,D,"3,756",3.14%,,,,,,,,,,,
328,CA,California,12,H0CA08077,,Summer Justice,Shields,"Shields, Summer Justice",,D,"2,146",1.80%,,,,,,,,,,,
329,CA,California,12,H2CA11176,,Américo Arturo,Diaz,"Diaz, Américo Arturo",,D,"1,499",1.25%,,,,,,,,,,,
330,CA,California,12,n/a,,,,,District Votes:,,"119,451",,,,"298,187",,,,,,,,
331,CA,California,,n/a,,,,DISTRICT 13,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
332,CA,California,13,H8CA09060,(I),Barbara ,Lee,"Lee, Barbara ",,D,"94,709",83.11%,,,"250,436",86.78%,,,,,W,,
333,CA,California,13,H2CA13099,,Marilyn M.,Singleton,"Singleton, Marilyn M.",,NOP,"13,502",11.85%,,,"38,146",13.22%,,,,,,,
334,CA,California,13,H0CA13093,,Justin,Jelincic,"Jelincic, Justin",,D,"5,741",5.04%,,,,,,,,,,,
335,CA,California,13,n/a,,,,,District Votes:,,"113,952",,,,"288,582",,,,,,,,
336,CA,California,,n/a,,,,DISTRICT 14,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
337,CA,California,14,H8CA12171,(I),Jackie ,Speier,"Speier, Jackie ",,D,"80,850",74.34%,,,"203,828",78.92%,,,,,W,,
338,CA,California,14,H2CA14139,,Deborah (Debbie),Bacigalupi,"Bacigalupi, Deborah (Debbie)",,R,"23,299",21.42%,,,"54,455",21.08%,,,,,,,
339,CA,California,14,H8CA12148,,Michael J.,Moloney,"Moloney, Michael J.",,D,"4,607",4.24%,,,,,,,,,,,
340,CA,California,14,n/a,,,,,District Votes:,,"108,756",,,,"258,283",,,,,,,,
341,CA,California,,n/a,,,,DISTRICT 15,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
342,CA,California,15,H2CA15094,,Eric,Swalwell,"Swalwell, Eric",,D,"34,347",36.19%,,,"120,388",52.11%,,,,,W,,
343,CA,California,15,H6CA09023,(I),Fortney Pete ,Stark,"Stark, Fortney Pete ",,D,"39,943",42.09%,,,"110,646",47.89%,,,,,,,
344,CA,California,15,H0CA13119,,"Christopher "Chris" J.""hristophe",Pareja,"Pareja, Christopher "Chris" J.""areja, Ch",,NOP,"20,618",21.72%,,,,,,,,,,,
345,CA,California,15,n/a,,,,,District Votes:,,"94,908",,,,"231,034",,,,,,,,
346,CA,California,,n/a,,,,DISTRICT 16,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
347,CA,California,16,H4CA20082,(I),Jim,Costa,"Costa, Jim",,D,"25,355",42.67%,,,"84,649",57.41%,,,,,W,,
348,CA,California,16,H2CA16092,,Brian Daniel ,Whelan,"Whelan, Brian Daniel ",,R,"15,053",25.33%,,,"62,801",42.59%,,,,,,,
349,CA,California,16,H2CA16100,,Johnny M. ,Tacherra,"Tacherra, Johnny M. ",,R,"6,776",11.40%,,,,,,,,,,,
350,CA,California,16,H2CA16118,,Mark ,Garcia,"Garcia, Mark ",,R,"6,529",10.99%,,,,,,,,,,,
351,CA,California,16,H0CA19132,,Loraine ,Goodwin,"Goodwin, Loraine ",,D,"5,703",9.60%,,,,,,,,,,,
352,CA,California,16,n/a,,,,,District Votes:,,"59,416",,,,"147,450",,,,,,,,
353,CA,California,,n/a,,,,DISTRICT 17,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
354,CA,California,17,H0CA15148,(I),Mike ,Honda,"Honda, Mike ",,D,"60,252",66.70%,,,"159,392",73.54%,,,,,W,,
355,CA,California,17,H2CA17090,,Evelyn ,Li,"Li, Evelyn ",,R,"24,916",27.58%,,,"57,336",26.46%,,,,,,,
356,CA,California,17,H2CA17108,,Charles ,Richardson,"Richardson, Charles ",,NOP,"5,163",5.72%,,,,,,,,,,,
357,CA,California,17,n/a,,,,,District Votes:,,"90,331",,,,"216,728",,,,,,,,
358,CA,California,,n/a,,,,DISTRICT 18,,,,,,,,,,,,,,"*  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardless of party affiliation.""  California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the general election regardl"" California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary election advance to the ""California utilizes a "Top Two" primary election system in which the top two vote-getters in the primary e""alifornia utilizes a "Top Two" primary election system in which the top two vote-ge""lifornia utilizes a "Top Two" primary election system in whic""ifornia utilizes a "Top Two" primary ele""fornia utilizes a "T""o",
359,CA,California,18,H8CA12098,(I),Anna G.,Eshoo,"Eshoo, Anna G.",,D,"86,851",61.46%,,,"212,831",70.49%,,,,,W,,
360,CA,California,18,H0CA14075,,Dave ,Chapman,"Chapman, Dave ",,R,"42,174",29.85%,,,"89,103",29.51%,,,,,,,
361,CA,California,18,H2CA18122,,William ,Parks,"Parks, William ",,D,"6,504",4.60%,,,,,,,,,,,
362,CA,California,18,H6CA14098,,Carol ,Brouillet,"Brouillet, Carol ",,GRE,"5,777",4.09%,,,,,,,,,,,
